                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84809,                0.70028,                 1.0635,                0.81598,                   0.95,                0.90835,                0.70841,                0.81748,                0.63038,                  1.098,              0.0016634,              0.0016634,              0.0016634
                     37,                  0.809,                0.66943,                 1.0406,                0.82327,                0.93333,                 0.9081,                0.71489,                0.79024,                0.65702,                 1.0869,              0.0016535,              0.0016535,              0.0016535
                     38,                0.83453,                0.68114,                 1.0576,                0.84754,                 0.8802,                0.90891,                0.71073,                0.80352,                0.62236,                 1.0919,              0.0016436,              0.0016436,              0.0016436
                     39,                 0.8431,                0.68284,                 1.0613,                0.81397,                  0.925,                0.91713,                0.71964,                0.80961,                0.65479,                 1.0812,              0.0016337,              0.0016337,              0.0016337
                     40,                0.82831,                0.65758,                 1.0419,                 0.8288,                0.92791,                0.91599,                0.72747,                  0.777,                0.61844,                 1.0771,              0.0016238,              0.0016238,              0.0016238
                     41,                0.83608,                0.68689,                 1.0607,                0.81822,                0.93775,                 0.9177,                0.72294,                0.76688,                0.60171,                 1.0655,              0.0016139,              0.0016139,              0.0016139
                     42,                0.83037,                0.67765,                 1.0528,                0.83782,                0.88333,                0.90131,                0.68807,                0.84188,                 0.6254,                  1.101,               0.001604,               0.001604,               0.001604
                     43,                0.81295,                0.64474,                 1.0391,                0.79752,                0.93333,                0.88068,                0.69122,                0.79608,                 0.6618,                  1.074,              0.0015941,              0.0015941,              0.0015941
                     44,                0.84532,                0.68654,                 1.0483,                0.85277,                0.86885,                0.91678,                0.71165,                 0.7928,                0.63404,                  1.093,              0.0015842,              0.0015842,              0.0015842
                     45,                0.82533,                0.66642,                 1.0451,                0.85126,                0.90833,                0.89831,                 0.7122,                0.77575,                 0.7432,                 1.0792,              0.0015743,              0.0015743,              0.0015743
                     46,                0.79099,                 0.6403,                 1.0366,                0.83019,                0.91667,                0.88746,                0.69621,                0.78143,                0.61183,                 1.0579,              0.0015644,              0.0015644,              0.0015644
                     47,                0.80001,                0.64991,                 1.0477,                0.80531,                0.96516,                0.91097,                0.70963,                0.75466,                 0.7372,                 1.0594,              0.0015545,              0.0015545,              0.0015545
                     48,                0.79667,                0.65785,                 1.0455,                0.84597,                0.91537,                 0.8833,                0.69205,                0.78313,                0.63692,                 1.0712,              0.0015446,              0.0015446,              0.0015446
                     49,                0.80051,                0.63278,                 1.0494,                0.83499,                0.93333,                0.88775,                0.68221,                0.80393,                0.63045,                 1.0956,              0.0015347,              0.0015347,              0.0015347
                     50,                0.79795,                 0.6564,                 1.0378,                0.84267,                0.93333,                0.90098,                0.71899,                0.77084,                0.62477,                 1.0675,              0.0015248,              0.0015248,              0.0015248
                     51,                0.79759,                0.64232,                 1.0343,                0.83563,                0.93207,                0.88636,                0.69811,                0.77594,                0.60517,                 1.0667,              0.0015149,              0.0015149,              0.0015149
                     52,                0.81039,                0.63986,                 1.0384,                0.84172,                0.93066,                0.90069,                0.70984,                0.79645,                 0.6241,                 1.0842,               0.001505,               0.001505,               0.001505
                     53,                0.82086,                0.63394,                 1.0499,                0.85144,                0.95523,                0.89769,                0.71323,                0.75061,                0.61979,                 1.0417,              0.0014951,              0.0014951,              0.0014951
                     54,                 0.8073,                0.66003,                 1.0504,                0.82561,                  0.925,                0.89867,                0.70439,                0.82367,                0.60113,                 1.1002,              0.0014852,              0.0014852,              0.0014852
                     55,                0.83268,                0.63315,                 1.0636,                0.82853,                  0.925,                0.92303,                0.73103,                0.78869,                0.60801,                 1.0939,              0.0014753,              0.0014753,              0.0014753
                     56,                0.78867,                0.60523,                 1.0353,                 0.8408,                0.88023,                0.91199,                0.70691,                0.81332,                0.64381,                 1.0865,              0.0014654,              0.0014654,              0.0014654
                     57,                0.80492,                0.63627,                   1.04,                0.84801,                0.88337,                0.91356,                0.71606,                0.82269,                0.59322,                 1.1007,              0.0014555,              0.0014555,              0.0014555
